Дата публикации,Название продукта,Цена (BYN),Местоположение,URL продукта
"10 июн., 10:47",Игровой руль,40.0,"Бобруйск, Могилевская обл.",https://www.kufar.by/item/1072570946?block_name=main&page=1&rank=31&searchId=fdfefae1-ca5a-4063-891e-06ae2a2ef920&total_rank=31
"8 июн., 22:00","Игровой руль, педали не родные и не подходят",40.0,"Молодечно, Минская обл.",https://www.kufar.by/item/1072407147?block_name=main&page=2&rank=45&searchId=fdfefae1-ca5a-4063-891e-06ae2a2ef920&total_rank=53
"29 мая, 21:57",Руль игровой с педалями,40.0,"Солигорск, Минская обл.",https://www.kufar.by/item/1070816568?block_name=main&page=3&rank=127&searchId=fdfefae1-ca5a-4063-891e-06ae2a2ef920&total_rank=135
"9 мая, 09:07","Игровой руль ACME Racing Wheel USB с педалями, раб",40.0,Могилев,https://www.kufar.by/item/1068258202?block_name=main&page=6&rank=239&searchId=fdfefae1-ca5a-4063-891e-06ae2a2ef920&total_rank=247
"26 мая, 20:17",Приставка 630 игр и игровой руль,45.0,Гродно,https://www.kufar.by/item/1070415278?block_name=main&page=4&rank=150&searchId=fdfefae1-ca5a-4063-891e-06ae2a2ef920&total_rank=158
"8 июн., 23:24",Игровой руль Manta,45.0,"Пинск, Брестская обл.",https://www.kufar.by/item/1072412697?block_name=main&page=2&rank=43&searchId=fdfefae1-ca5a-4063-891e-06ae2a2ef920&total_rank=51
"7 июн., 17:24",Defender Forsage GTR игровой руль,50.0,Гомель,https://www.kufar.by/item/1072215642?block_name=main&page=2&rank=58&searchId=fdfefae1-ca5a-4063-891e-06ae2a2ef920&total_rank=66
"7 июн., 09:58",Игровой руль,50.0,"Минск, Октябрьский",https://www.kufar.by/item/1072112054?block_name=main&page=2&rank=66&searchId=fdfefae1-ca5a-4063-891e-06ae2a2ef920&total_rank=74
"2 июн., 21:14",Игровой руль с педалями,50.0,Гродно,https://www.kufar.by/item/1071319735?block_name=main&page=3&rank=93&searchId=fdfefae1-ca5a-4063-891e-06ae2a2ef920&total_rank=101
"31 мая, 11:27",Игровой руль Defender,50.0,"Молодечно, Минская обл.",https://www.kufar.by/item/1070995294?block_name=main&page=3&rank=118&searchId=fdfefae1-ca5a-4063-891e-06ae2a2ef920&total_rank=126
"28 мая, 15:01",Игровой руль,50.0,Брест,https://www.kufar.by/item/1070647241?block_name=main&page=4&rank=139&searchId=fdfefae1-ca5a-4063-891e-06ae2a2ef920&total_rank=147
"29 мая, 18:37",Игровой руль и педали Logitech,50.0,"Минск, Московский",https://www.kufar.by/item/1070797156?block_name=main&page=4&rank=130&searchId=fdfefae1-ca5a-4063-891e-06ae2a2ef920&total_rank=138
"3 июн., 15:29",Игровой руль с педалями,50.0,"Осиповичи, Могилевская обл.",https://www.kufar.by/item/1071443021?block_name=main&page=3&rank=90&searchId=fdfefae1-ca5a-4063-891e-06ae2a2ef920&total_rank=98
"1 июн., 13:56",Игровой руль Defender Challenge Turbo GT,50.0,"Речица, Гомельская обл.",https://www.kufar.by/item/1071141890?block_name=main&page=3&rank=108&searchId=fdfefae1-ca5a-4063-891e-06ae2a2ef920&total_rank=116
"10 июн., 13:53","Игровой руль ACME Racing Wheel USB с педалями, раб",50.0,Гомель,https://www.kufar.by/item/1072588000?block_name=main&page=1&rank=29&searchId=fdfefae1-ca5a-4063-891e-06ae2a2ef920&total_rank=29
"Вчера, 18:24",Руль игровой детский,50.0,"Барановичи, Брестская обл.",https://www.kufar.by/item/1072732660?block_name=main&page=1&rank=21&searchId=fdfefae1-ca5a-4063-891e-06ae2a2ef920&total_rank=21
"27 мая, 13:08",Игровой руль с музыкой,50.0,"Минск, Московский",https://www.kufar.by/item/1070503632?block_name=main&page=4&rank=144&searchId=fdfefae1-ca5a-4063-891e-06ae2a2ef920&total_rank=152
"17 мая, 00:54",Canyon CNG-GW01N игровой руль + педали,50.0,"Минск, Ленинский",https://www.kufar.by/item/1069205992?block_name=main&page=5&rank=201&searchId=fdfefae1-ca5a-4063-891e-06ae2a2ef920&total_rank=209
"7 мая, 19:59",Игровой руль Acme,50.0,"Бобруйск, Могилевская обл.",https://www.kufar.by/item/1068073123?block_name=main&page=6&rank=247&searchId=fdfefae1-ca5a-4063-891e-06ae2a2ef920&total_rank=255
"7 мая, 21:27",Игровой руль,50.0,"Минск, Октябрьский",https://www.kufar.by/item/1068082941?block_name=main&page=6&rank=245&searchId=fdfefae1-ca5a-4063-891e-06ae2a2ef920&total_rank=253
"9 июн., 22:41",Руль игровой компьютерный,50.0,"Минск, Фрунзенский",https://www.kufar.by/item/1072535917?block_name=main&page=1&rank=33&searchId=fdfefae1-ca5a-4063-891e-06ae2a2ef920&total_rank=33
"13 мая, 11:18",Игровой руль 90градусов,50.0,Гомель,https://www.kufar.by/item/1068780305?block_name=main&page=6&rank=220&searchId=fdfefae1-ca5a-4063-891e-06ae2a2ef920&total_rank=228
"28 мая, 14:47",Руль игровой и коробка передач,55.0,"Быхов, Могилевская обл.",https://www.kufar.by/item/1070550064?block_name=main&page=4&rank=140&searchId=fdfefae1-ca5a-4063-891e-06ae2a2ef920&total_rank=148
"19 мая, 18:30",Руль игровой defender,55.0,"Минск, Московский",https://www.kufar.by/item/1069539810?block_name=main&page=5&rank=184&searchId=fdfefae1-ca5a-4063-891e-06ae2a2ef920&total_rank=192
"25 мая, 22:52",Игровой руль ACME R/S,55.0,"Минск, Центральный",https://www.kufar.by/item/1069976959?block_name=main&page=4&rank=157&searchId=fdfefae1-ca5a-4063-891e-06ae2a2ef920&total_rank=165
"3 июн., 20:02",Игровой руль с педалями,55.0,Могилев,https://www.kufar.by/item/1071474831?block_name=main&page=3&rank=87&searchId=fdfefae1-ca5a-4063-891e-06ae2a2ef920&total_rank=95
"7 мая, 09:43",Руль игровой Logitech,60.0,"Минск, Партизанский",https://www.kufar.by/item/1068001216?block_name=main&page=6&rank=249&searchId=fdfefae1-ca5a-4063-891e-06ae2a2ef920&total_rank=257
"22 мая, 22:11",Игровой руль Defender,60.0,"Минск, Первомайский",https://www.kufar.by/item/1069916555?block_name=main&page=4&rank=171&searchId=fdfefae1-ca5a-4063-891e-06ae2a2ef920&total_rank=179
"13 мая, 16:41",Игровой руль,60.0,Гомель,https://www.kufar.by/item/1068817824?block_name=main&page=6&rank=219&searchId=fdfefae1-ca5a-4063-891e-06ae2a2ef920&total_rank=227
"30 мая, 18:03",Руль игровой,70.0,Могилев,https://www.kufar.by/item/1070917260?block_name=main&page=3&rank=123&searchId=fdfefae1-ca5a-4063-891e-06ae2a2ef920&total_rank=131
"1 июн., 17:32",игровой руль sven gc-w500,70.0,"Слоним, Гродненская обл.",https://www.kufar.by/item/1071168705?block_name=main&page=3&rank=106&searchId=fdfefae1-ca5a-4063-891e-06ae2a2ef920&total_rank=114
"23 мая, 13:38",Игровой руль Defender Challenge Mini LE.,70.0,"Лида, Гродненская обл.",https://www.kufar.by/item/1069991073?block_name=main&page=4&rank=169&searchId=fdfefae1-ca5a-4063-891e-06ae2a2ef920&total_rank=177
"7 июн., 16:42",Игровой руль,80.0,"Орша, Витебская обл.",https://www.kufar.by/item/1072211396?block_name=main&page=2&rank=59&searchId=fdfefae1-ca5a-4063-891e-06ae2a2ef920&total_rank=67
"9 июн., 21:08",Игровой руль,80.0,"Жодино, Минская обл.",https://www.kufar.by/item/1072528312?block_name=main&page=1&rank=34&searchId=fdfefae1-ca5a-4063-891e-06ae2a2ef920&total_rank=34
"10 июн., 14:09",Игровой руль,80.0,"Другие города, Витебская обл.",https://www.kufar.by/item/1072589365?block_name=main&page=1&rank=28&searchId=fdfefae1-ca5a-4063-891e-06ae2a2ef920&total_rank=28
"Сегодня, 10:46",Игровой руль Manta MM626 Compressor Supreme 3,80.0,Витебск,https://www.kufar.by/item/1072570587?block_name=main&page=1&rank=10&searchId=fdfefae1-ca5a-4063-891e-06ae2a2ef920&total_rank=10
"17 мая, 21:41",Игровой руль Defender,80.0,"Минск, Заводской",https://www.kufar.by/item/1069317096?block_name=main&page=5&rank=194&searchId=fdfefae1-ca5a-4063-891e-06ae2a2ef920&total_rank=202
"22 мая, 11:04",Руль игровой,80.0,"Новополоцк, Витебская обл.",https://www.kufar.by/item/1069852402?block_name=main&page=5&rank=175&searchId=fdfefae1-ca5a-4063-891e-06ae2a2ef920&total_rank=183
"8 мая, 15:07",Продам руль игровой,80.0,"Солигорск, Минская обл.",https://www.kufar.by/item/1068169445?block_name=main&page=6&rank=244&searchId=fdfefae1-ca5a-4063-891e-06ae2a2ef920&total_rank=252
"12 мая, 22:20",игровой руль для пк,85.0,"Дубровно, Витебская обл.",https://www.kufar.by/item/1068723666?block_name=main&page=6&rank=222&searchId=fdfefae1-ca5a-4063-891e-06ae2a2ef920&total_rank=230
"10 мая, 16:25",Игровой руль,85.0,Брест,https://www.kufar.by/item/1068436956?block_name=main&page=6&rank=230&searchId=fdfefae1-ca5a-4063-891e-06ae2a2ef920&total_rank=238
"1 июн., 22:40",Игровой руль,90.0,"Минск, Московский",https://www.kufar.by/item/1034080302?block_name=main&page=3&rank=101&searchId=fdfefae1-ca5a-4063-891e-06ae2a2ef920&total_rank=109
"11 мая, 18:59",Игровой руль Defender,90.0,"Минск, Октябрьский",https://www.kufar.by/item/1068577433?block_name=main&page=6&rank=225&searchId=fdfefae1-ca5a-4063-891e-06ae2a2ef920&total_rank=233
"31 мая, 14:37",Игровой руль defender adrenaline mini,90.0,"Минск, Октябрьский",https://www.kufar.by/item/1071014663?block_name=main&page=3&rank=115&searchId=fdfefae1-ca5a-4063-891e-06ae2a2ef920&total_rank=123
"10 июн., 11:50",Руль игровой SVEN Drift,100.0,"Барановичи, Брестская обл.",https://www.kufar.by/item/1072577361?block_name=main&page=1&rank=30&searchId=fdfefae1-ca5a-4063-891e-06ae2a2ef920&total_rank=30
"Сегодня, 16:54",Руль игровой Defender Challenge Mini LE,100.0,Гомель,https://www.kufar.by/item/1072847805?block_name=main&page=1&rank=6&searchId=fdfefae1-ca5a-4063-891e-06ae2a2ef920&total_rank=6
"8 июн., 19:28",Игровой руль,100.0,"Рогачев, Гомельская обл.",https://www.kufar.by/item/1072388238?block_name=main&page=2&rank=49&searchId=fdfefae1-ca5a-4063-891e-06ae2a2ef920&total_rank=57
"7 июн., 11:18",Игровой руль Defender,100.0,"Климовичи, Могилевская обл.",https://www.kufar.by/item/1072145396?block_name=main&page=2&rank=64&searchId=fdfefae1-ca5a-4063-891e-06ae2a2ef920&total_rank=72
"29 мая, 16:11",Игровой руль пс4/5 пк срочно Thrustmaster T80,100.0,"Минский район, Минская обл.",https://www.kufar.by/item/1070785741?block_name=main&page=4&rank=131&searchId=fdfefae1-ca5a-4063-891e-06ae2a2ef920&total_rank=139
"3 июн., 14:11",Игровой руль,100.0,"Рогачев, Гомельская обл.",https://www.kufar.by/item/1071433919?block_name=main&page=3&rank=91&searchId=fdfefae1-ca5a-4063-891e-06ae2a2ef920&total_rank=99
"3 июн., 10:14",Игровой руль trustmaster,100.0,"Минск, Ленинский",https://www.kufar.by/item/1071400670?block_name=main&page=3&rank=92&searchId=fdfefae1-ca5a-4063-891e-06ae2a2ef920&total_rank=100
"25 мая, 21:06",Руль игровой,100.0,"Мозырь, Гомельская обл.",https://www.kufar.by/item/1070290671?block_name=main&page=4&rank=159&searchId=fdfefae1-ca5a-4063-891e-06ae2a2ef920&total_rank=167
"9 мая, 13:22",Руль игровой Defender,100.0,"Минск, Советский",https://www.kufar.by/item/1068285503?block_name=main&page=6&rank=238&searchId=fdfefae1-ca5a-4063-891e-06ae2a2ef920&total_rank=246
